'Africa', 'Abidjan', '04:49 PM Mon - Nov 29 - 2021', ' GMT', '00.00',
'Africa', 'Kinshasa', '05:49 PM Mon - Nov 29 - 2021', ' WAT', '+01.00',
'Africa', 'Lagos', '05:49 PM Mon - Nov 29 - 2021', ' WAT', '+01.00',
'Africa', 'Lagos', '05:49 PM Mon - Nov 29 - 2021', ' WAT', '+01.00',
'Africa', 'Libreville', '05:49 PM Mon - Nov 29 - 2021', ' WAT', '+01.00',
'Africa', 'Lome', '04:49 PM Mon - Nov 29 - 2021', ' GMT', '00.00',
'Africa', 'Luanda', '05:49 PM Mon - Nov 29 - 2021', ' WAT', '+01.00',
'Africa', 'Lubumbashi', '06:49 PM Mon - Nov 29 - 2021', ' CAT', '+02.00',
'Africa', 'Lusaka', '06:49 PM Mon - Nov 29 - 2021', ' CAT', '+02.00',
'Africa', 'Malabo', '05:49 PM Mon - Nov 29 - 2021', ' WAT', '+01.00',
'Africa', 'Maputo', '06:49 PM Mon - Nov 29 - 2021', ' CAT', '+02.00',
'Africa', 'Maseru', '06:49 PM Mon - Nov 29 - 2021', ' SAST', '+02.00',
'Africa', 'Mbabane', '06:49 PM Mon - Nov 29 - 2021', ' SAST', '+02.00',
'Africa', 'Mogadishu', '07:49 PM Mon - Nov 29 - 2021', ' EAT', '+03.00',
'Africa', 'Monrovia', '04:49 PM Mon - Nov 29 - 2021', ' GMT', '00.00',
'Africa', 'Nairobi', '07:49 PM Mon - Nov 29 - 2021', ' EAT', '+03.00',
'Africa', 'Ndjamena', '05:49 PM Mon - Nov 29 - 2021', ' WAT', '+01.00',
'Africa', 'Niamey', '05:49 PM Mon - Nov 29 - 2021', ' WAT', '+01.00',
'Africa', 'Nouakchott', '04:49 PM Mon - Nov 29 - 2021', ' GMT', '00.00',
'Africa', 'Ouagadougou', '04:49 PM Mon - Nov 29 - 2021', ' GMT', '00.00',
'Africa', 'Porto-Novo', '05:49 PM Mon - Nov 29 - 2021', ' WAT', '+01.00',
'Africa', 'Sao_Tome', '04:49 PM Mon - Nov 29 - 2021', ' GMT', '00.00',
'Africa', 'Tripoli', '06:49 PM Mon - Nov 29 - 2021', ' EET', '+02.00',
'Africa', 'Tunis', '05:49 PM Mon - Nov 29 - 2021', ' CET', '+01.00',
'Africa', 'Windhoek', '06:49 PM Mon - Nov 29 - 2021', ' WAST', '+02.00',
'America', 'Anchorage', '07:49 AM Mon - Nov 29 - 2021', ' AKST', '-09.00',
'America', 'Anguilla', '12:49 PM Mon - Nov 29 - 2021', ' AST', '-04.00',
'America', 'Antigua', '12:49 PM Mon - Nov 29 - 2021', ' AST', '-04.00',
'America', 'Araguaina', '01:49 PM Mon - Nov 29 - 2021', ' BRT', '-03.00',
'America', 'Argentina/Buenos_Aires', '01:49 PM Mon - Nov 29 - 2021', ' ART', '-03.00',
'America', 'Argentina/Catamarca', '01:49 PM Mon - Nov 29 - 2021', ' ART', '-03.00',
'America', 'Argentina/Cordoba', '01:49 PM Mon - Nov 29 - 2021', ' ART', '-03.00',
'America', 'Argentina/Jujuy', '01:49 PM Mon - Nov 29 - 2021', ' ART', '-03.00',
'America', 'Argentina/La_Rioja', '01:49 PM Mon - Nov 29 - 2021', ' ART', '-03.00',
'America', 'Argentina/Mendoza', '01:49 PM Mon - Nov 29 - 2021', ' ART', '-03.00',
'America', 'Argentina/Rio_Gallegos', '01:49 PM Mon - Nov 29 - 2021', ' ART', '-03.00',
'America', 'Argentina/San_Juan', '01:49 PM Mon - Nov 29 - 2021', ' ART', '-03.00',
'America', 'Argentina/Tucuman', '01:49 PM Mon - Nov 29 - 2021', ' ART', '-03.00',
'America', 'Argentina/Ushuaia', '01:49 PM Mon - Nov 29 - 2021', ' ART', '-03.00',
'America', 'Aruba', '12:49 PM Mon - Nov 29 - 2021', ' AST', '-04.00',
'America', 'Asuncion', '01:49 PM Mon - Nov 29 - 2021', ' PYST', '-03.00',
'America', 'Bahia', '01:49 PM Mon - Nov 29 - 2021', ' BRT', '-03.00',
'America', 'Barbados', '12:49 PM Mon - Nov 29 - 2021', ' AST', '-04.00',
'America', 'Belem', '01:49 PM Mon - Nov 29 - 2021', ' BRT', '-03.00',
'America', 'Belize', '10:49 AM Mon - Nov 29 - 2021', ' CST', '-06.00',
'America', 'Boa_Vista', '12:49 PM Mon - Nov 29 - 2021', ' AMT', '-04.00',
'America', 'Bogota', '11:49 AM Mon - Nov 29 - 2021', ' COT', '-05.00',
'America', 'Campo_Grande', '01:49 PM Mon - Nov 29 - 2021', ' AMST', '-03.00',
'America', 'Cancun', '10:49 AM Mon - Nov 29 - 2021', ' CST', '-06.00',
'America', 'Caracas', '12:19 PM Mon - Nov 29 - 2021', ' VET', '-04.50',
'America', 'Cayenne', '01:49 PM Mon - Nov 29 - 2021', ' GFT', '-03.00',
'America', 'Cayman', '11:49 AM Mon - Nov 29 - 2021', ' EST', '-05.00',
'America', 'Chicago', '10:49 AM Mon - Nov 29 - 2021', ' CST', '-06.00',
'America', 'Chihuahua', '09:49 AM Mon - Nov 29 - 2021', ' MST', '-07.00',
'America', 'Costa_Rica', '10:49 AM Mon - Nov 29 - 2021', ' CST', '-06.00',
'America', 'Cuiaba', '01:49 PM Mon - Nov 29 - 2021', ' AMST', '-03.00',
'America', 'Denver', '09:49 AM Mon - Nov 29 - 2021', ' MST', '-07.00',
'America', 'Dominica', '12:49 PM Mon - Nov 29 - 2021', ' AST', '-04.00',
'America', 'Edmonton', '09:49 AM Mon - Nov 29 - 2021', ' MST', '-07.00',
'America', 'El_Salvador', '10:49 AM Mon - Nov 29 - 2021', ' CST', '-06.00',
'America', 'Fortaleza', '01:49 PM Mon - Nov 29 - 2021', ' BRT', '-03.00',
'America', 'Godthab', '01:49 PM Mon - Nov 29 - 2021', ' WGT', '-03.00',
'America', 'Grand_Turk', '11:49 AM Mon - Nov 29 - 2021', ' EST', '-05.00',
'America', 'Grenada', '12:49 PM Mon - Nov 29 - 2021', ' AST', '-04.00',
'America', 'Guadeloupe', '12:49 PM Mon - Nov 29 - 2021', ' AST', '-04.00',
'America', 'Guatemala', '10:49 AM Mon - Nov 29 - 2021', ' CST', '-06.00',
'America', 'Guayaquil', '11:49 AM Mon - Nov 29 - 2021', ' ECT', '-05.00',
'America', 'Guyana', '12:49 PM Mon - Nov 29 - 2021', ' GYT', '-04.00',
'America', 'Halifax', '12:49 PM Mon - Nov 29 - 2021', ' AST', '-04.00',
'America', 'Havana', '11:49 AM Mon - Nov 29 - 2021', ' CST', '-05.00',
'America', 'Hermosillo', '09:49 AM Mon - Nov 29 - 2021', ' MST', '-07.00',
'America', 'Indianapolis', '11:49 AM Mon - Nov 29 - 2021', ' EST', '-05.00',
'America', 'Jamaica', '11:49 AM Mon - Nov 29 - 2021', ' EST', '-05.00',
'America', 'La_Paz', '12:49 PM Mon - Nov 29 - 2021', ' BOT', '-04.00',
'America', 'Lima', '11:49 AM Mon - Nov 29 - 2021', ' PET', '-05.00',
'America', 'Los_Angeles', '08:49 AM Mon - Nov 29 - 2021', ' PST', '-08.00',
'America', 'Maceio', '01:49 PM Mon - Nov 29 - 2021', ' BRT', '-03.00',
'America', 'Managua', '10:49 AM Mon - Nov 29 - 2021', ' CST', '-06.00',
'America', 'Manaus', '12:49 PM Mon - Nov 29 - 2021', ' AMT', '-04.00',
'America', 'Martinique', '12:49 PM Mon - Nov 29 - 2021', ' AST', '-04.00',
'America', 'Mazatlan', '09:49 AM Mon - Nov 29 - 2021', ' MST', '-07.00',
'America', 'Merida', '10:49 AM Mon - Nov 29 - 2021', ' CST', '-06.00',
'America', 'Mexico_City', '10:49 AM Mon - Nov 29 - 2021', ' CST', '-06.00',
'America', 'Miquelon', '01:49 PM Mon - Nov 29 - 2021', ' PMST', '-03.00',
'America', 'Monterrey', '10:49 AM Mon - Nov 29 - 2021', ' CST', '-06.00',
'America', 'Montevideo', '02:49 PM Mon - Nov 29 - 2021', ' UYST', '-02.00',
'America', 'Montreal', '11:49 AM Mon - Nov 29 - 2021', ' EST', '-05.00',
'America', 'Montserrat', '12:49 PM Mon - Nov 29 - 2021', ' AST', '-04.00',
'America', 'Nassau', '11:49 AM Mon - Nov 29 - 2021', ' EST', '-05.00',
'America', 'New_York', '11:49 AM Mon - Nov 29 - 2021', ' EST', '-05.00',
'America', 'Noronha', '02:49 PM Mon - Nov 29 - 2021', ' FNT', '-02.00',
'America', 'Panama', '11:49 AM Mon - Nov 29 - 2021', ' EST', '-05.00',
'America', 'Paramaribo', '01:49 PM Mon - Nov 29 - 2021', ' SRT', '-03.00',
'America', 'Phoenix', '09:49 AM Mon - Nov 29 - 2021', ' MST', '-07.00',
'America', 'Port-au-Prince', '11:49 AM Mon - Nov 29 - 2021', ' EST', '-05.00',
'America', 'Porto_Velho', '12:49 PM Mon - Nov 29 - 2021', ' AMT', '-04.00',
'America', 'Port_of_Spain', '12:49 PM Mon - Nov 29 - 2021', ' AST', '-04.00',
'America', 'Puerto_Rico', '12:49 PM Mon - Nov 29 - 2021', ' AST', '-04.00',
'America', 'Puerto_Rico', '12:49 PM Mon - Nov 29 - 2021', ' AST', '-04.00',
'America', 'Rankin_Inlet', '10:49 AM Mon - Nov 29 - 2021', ' CST', '-06.00',
'America', 'Regina', '10:49 AM Mon - Nov 29 - 2021', ' CST', '-06.00',
'America', 'Rio_Branco', '12:49 PM Mon - Nov 29 - 2021', ' AMT', '-04.00',
'America', 'Santo_Domingo', '12:49 PM Mon - Nov 29 - 2021', ' AST', '-04.00',
'America', 'Sao_Paulo', '02:49 PM Mon - Nov 29 - 2021', ' BRST', '-02.00',
'America', 'St_Johns', '01:19 PM Mon - Nov 29 - 2021', ' NST', '-03.50',
'America', 'St_Kitts', '12:49 PM Mon - Nov 29 - 2021', ' AST', '-04.00',
'America', 'St_Lucia', '12:49 PM Mon - Nov 29 - 2021', ' AST', '-04.00',
'America', 'St_Thomas', '12:49 PM Mon - Nov 29 - 2021', ' AST', '-04.00',
'America', 'St_Vincent', '12:49 PM Mon - Nov 29 - 2021', ' AST', '-04.00',
'America', 'Tegucigalpa', '10:49 AM Mon - Nov 29 - 2021', ' CST', '-06.00',
'America', 'Tijuana', '08:49 AM Mon - Nov 29 - 2021', ' PST', '-08.00',
'America', 'Toronto', '11:49 AM Mon - Nov 29 - 2021', ' EST', '-05.00',
'America', 'Tortola', '12:49 PM Mon - Nov 29 - 2021', ' AST', '-04.00',
'America', 'Vancouver', '08:49 AM Mon - Nov 29 - 2021', ' PST', '-08.00',
'America', 'Virgin', '12:49 PM Mon - Nov 29 - 2021', ' AST', '-04.00',
'America', 'Whitehorse', '08:49 AM Mon - Nov 29 - 2021', ' PST', '-08.00',
'America', 'Winnipeg', '10:49 AM Mon - Nov 29 - 2021', ' CST', '-06.00',
'America', 'Yellowknife', '09:49 AM Mon - Nov 29 - 2021', ' MST', '-07.00',
'Arctic', 'Longyearbyen', '05:49 PM Mon - Nov 29 - 2021', ' CET', '+01.00',
'Asia', 'Almaty', '10:49 PM Mon - Nov 29 - 2021', ' ALMT', '+06.00',
'Asia', 'Amman', '06:49 PM Mon - Nov 29 - 2021', ' EET', '+02.00',
'Asia', 'Anadyr', '03:49 AM Tue - Nov 30 - 2021', ' ANAT', '+11.00',
'Asia', 'Aqtau', '09:49 PM Mon - Nov 29 - 2021', ' AQTT', '+05.00',
'Asia', 'Aqtobe', '09:49 PM Mon - Nov 29 - 2021', ' AQTT', '+05.00',
'Asia', 'Ashgabat', '09:49 PM Mon - Nov 29 - 2021', ' TMT', '+05.00',
'Asia', 'Baghdad', '07:49 PM Mon - Nov 29 - 2021', ' AST', '+03.00',
'Asia', 'Bahrain', '07:49 PM Mon - Nov 29 - 2021', ' AST', '+03.00',
'Asia', 'Baku', '08:49 PM Mon - Nov 29 - 2021', ' AZT', '+04.00',
'Asia', 'Bangkok', '11:49 PM Mon - Nov 29 - 2021', ' ICT', '+07.00',
'Asia', 'Beirut', '06:49 PM Mon - Nov 29 - 2021', ' EET', '+02.00',
'Asia', 'Bishkek', '10:49 PM Mon - Nov 29 - 2021', ' KGT', '+06.00',
'Asia', 'Brunei', '12:49 AM Tue - Nov 30 - 2021', ' BNT', '+08.00',
'Asia', 'Calcutta', '10:19 PM Mon - Nov 29 - 2021', ' IST', '+05.50',
'Asia', 'Choibalsan', '12:49 AM Tue - Nov 30 - 2021', ' CHOT', '+08.00',
'Asia', 'Chongqing', '12:49 AM Tue - Nov 30 - 2021', ' CST', '+08.00',
'Asia', 'Colombo', '10:19 PM Mon - Nov 29 - 2021', ' IST', '+05.50',
'Asia', 'Damascus', '06:49 PM Mon - Nov 29 - 2021', ' EET', '+02.00',
'Asia', 'Dhaka', '11:49 PM Mon - Nov 29 - 2021', ' BDST', '+07.00',
'Asia', 'Dubai', '08:49 PM Mon - Nov 29 - 2021', ' GST', '+04.00',
'Asia', 'Dushanbe', '09:49 PM Mon - Nov 29 - 2021', ' TJT', '+05.00',
'Asia', 'Gaza', '06:49 PM Mon - Nov 29 - 2021', ' EET', '+02.00',
'Asia', 'Hong_Kong', '12:49 AM Tue - Nov 30 - 2021', ' HKT', '+08.00',
'Asia', 'Hovd', '11:49 PM Mon - Nov 29 - 2021', ' HOVT', '+07.00',
'Asia', 'Irkutsk', '12:49 AM Tue - Nov 30 - 2021', ' IRKT', '+08.00',
'Asia', 'Istanbul', '06:49 PM Mon - Nov 29 - 2021', ' EET', '+02.00',
'Asia', 'Jakarta', '11:49 PM Mon - Nov 29 - 2021', ' WIT', '+07.00',
'Asia', 'Jakarta', '11:49 PM Mon - Nov 29 - 2021', ' WIT', '+07.00',
'Asia', 'Jayapura', '01:49 AM Tue - Nov 30 - 2021', ' EIT', '+09.00',
'Asia', 'Jerusalem', '06:49 PM Mon - Nov 29 - 2021', ' IST', '+02.00',
'Asia', 'Kabul', '09:19 PM Mon - Nov 29 - 2021', ' AFT', '+04.50',
'Asia', 'Kamchatka', '03:49 AM Tue - Nov 30 - 2021', ' PETT', '+11.00',
'Asia', 'Karachi', '09:49 PM Mon - Nov 29 - 2021', ' PKT', '+05.00',
'Asia', 'Katmandu', '10:34 PM Mon - Nov 29 - 2021', ' NPT', '+05:45;',
'Asia', 'Krasnoyarsk', '11:49 PM Mon - Nov 29 - 2021', ' KRAT', '+07.00',
'Asia', 'Kuala_Lumpur', '12:49 AM Tue - Nov 30 - 2021', ' MYT', '+08.00',
'Asia', 'Kuwait', '07:49 PM Mon - Nov 29 - 2021', ' AST', '+03.00',
'Asia', 'Macao', '12:49 AM Tue - Nov 30 - 2021', ' CST', '+08.00',
'Asia', 'Magadan', '03:49 AM Tue - Nov 30 - 2021', ' MAGT', '+11.00',
'Asia', 'Manila', '12:49 AM Tue - Nov 30 - 2021', ' PHT', '+08.00',
'Asia', 'Muscat', '08:49 PM Mon - Nov 29 - 2021', ' GST', '+04.00',
'Asia', 'Nicosia', '06:49 PM Mon - Nov 29 - 2021', ' EET', '+02.00',
'Asia', 'Novosibirsk', '10:49 PM Mon - Nov 29 - 2021', ' NOVT', '+06.00',
'Asia', 'Omsk', '10:49 PM Mon - Nov 29 - 2021', ' OMST', '+06.00',
'Asia', 'Oral', '09:49 PM Mon - Nov 29 - 2021', ' ORAT', '+05.00',
'Asia', 'Phnom_Penh', '11:49 PM Mon - Nov 29 - 2021', ' ICT', '+07.00',
'Asia', 'Phnom_Penh', '11:49 PM Mon - Nov 29 - 2021', ' ICT', '+07.00',
'Asia', 'Pyongyang', '01:49 AM Tue - Nov 30 - 2021', ' KST', '+09.00',
'Asia', 'Qatar', '07:49 PM Mon - Nov 29 - 2021', ' AST', '+03.00',
'Asia', 'Qyzylorda', '10:49 PM Mon - Nov 29 - 2021', ' QYZT', '+06.00',
'Asia', 'Rangoon', '11:19 PM Mon - Nov 29 - 2021', ' MMT', '+06.50',
'Asia', 'Riyadh', '07:49 PM Mon - Nov 29 - 2021', ' AST', '+03.00',
'Asia', 'Seoul', '01:49 AM Tue - Nov 30 - 2021', ' KST', '+09.00',
'Asia', 'Singapore', '12:49 AM Tue - Nov 30 - 2021', ' SGT', '+08.00',
'Asia', 'Taipei', '12:49 AM Tue - Nov 30 - 2021', ' CST', '+08.00',
'Asia', 'Tashkent', '09:49 PM Mon - Nov 29 - 2021', ' UZT', '+05.00',
'Asia', 'Tbilisi', '08:49 PM Mon - Nov 29 - 2021', ' GET', '+04.00',
'Asia', 'Tehran', '08:19 PM Mon - Nov 29 - 2021', ' IRST', '+03.50',
'Asia', 'Thimphu', '10:49 PM Mon - Nov 29 - 2021', ' BTT', '+06.00',
'Asia', 'Tokyo', '01:49 AM Tue - Nov 30 - 2021', ' JST', '+09.00',
'Asia', 'Ujung_Pandang', '12:49 AM Tue - Nov 30 - 2021', ' CIT', '+08.00',
'Asia', 'Ulaanbaatar', '12:49 AM Tue - Nov 30 - 2021', ' ULAT', '+08.00',
'Asia', 'Vientiane', '11:49 PM Mon - Nov 29 - 2021', ' ICT', '+07.00',
'Asia', 'Vladivostok', '02:49 AM Tue - Nov 30 - 2021', ' VLAT', '+10.00',
'Asia', 'Yakutsk', '01:49 AM Tue - Nov 30 - 2021', ' YAKT', '+09.00',
'Asia', 'Yekaterinburg', '09:49 PM Mon - Nov 29 - 2021', ' YEKT', '+05.00',
'Asia', 'Yerevan', '08:49 PM Mon - Nov 29 - 2021', ' AMT', '+04.00',
'Atlantic', 'Azores', '03:49 PM Mon - Nov 29 - 2021', ' AZOT', '-01.00',
'Atlantic', 'Bermuda', '12:49 PM Mon - Nov 29 - 2021', ' AST', '-04.00',
'Atlantic', 'Canary', '04:49 PM Mon - Nov 29 - 2021', ' WET', '00.00',
'Atlantic', 'Cape_Verde', '03:49 PM Mon - Nov 29 - 2021', ' CVT', '-01.00',
'Atlantic', 'Faeroe', '04:49 PM Mon - Nov 29 - 2021', ' WET', '00.00',
'Atlantic', 'Madeira', '04:49 PM Mon - Nov 29 - 2021', ' WET', '00.00',
'Atlantic', 'Reykjavik', '04:49 PM Mon - Nov 29 - 2021', ' GMT', '00.00',
'Atlantic', 'South_Georgia', '02:49 PM Mon - Nov 29 - 2021', ' GST', '-02.00',
'Atlantic', 'Stanley', '01:49 PM Mon - Nov 29 - 2021', ' FKST', '-03.00',
'Atlantic', 'St_Helena', '04:49 PM Mon - Nov 29 - 2021', ' GMT', '00.00',
'Australia', 'Canberra', '03:49 AM Tue - Nov 30 - 2021', ' EST', '+11.00',
'Australia', 'North', '02:19 AM Tue - Nov 30 - 2021', ' CST', '+09.50',
'Australia', 'NSW', '03:49 AM Tue - Nov 30 - 2021', ' EST', '+11.00',
'Australia', 'Queensland', '02:49 AM Tue - Nov 30 - 2021', ' EST', '+10.00',
'Australia', 'South', '03:19 AM Tue - Nov 30 - 2021', ' CST', '+10.50',
'Australia', 'Tasmania', '03:49 AM Tue - Nov 30 - 2021', ' EST', '+11.00',
'Australia', 'Victoria', '03:49 AM Tue - Nov 30 - 2021', ' EST', '+11.00',
'Australia', 'West', '12:49 AM Tue - Nov 30 - 2021', ' WST', '+08.00',
'America', 'Chile Continental;01:49 PM Mon - Nov 29 - 2021', ' CLST', '-03.00', '',
'Europe', 'Amsterdam', '05:49 PM Mon - Nov 29 - 2021', ' CET', '+01.00',
'Europe', 'Andorra', '05:49 PM Mon - Nov 29 - 2021', ' CET', '+01.00',
'Europe', 'Athens', '06:49 PM Mon - Nov 29 - 2021', ' EET', '+02.00',
'Europe', 'Belgrade', '05:49 PM Mon - Nov 29 - 2021', ' CET', '+01.00',
'Europe', 'Berlin', '05:49 PM Mon - Nov 29 - 2021', ' CET', '+01.00',
'Europe', 'Bratislava', '05:49 PM Mon - Nov 29 - 2021', ' CET', '+01.00',
'Europe', 'Brussels', '05:49 PM Mon - Nov 29 - 2021', ' CET', '+01.00',
'Europe', 'Bucharest', '06:49 PM Mon - Nov 29 - 2021', ' EET', '+02.00',
'Europe', 'Budapest', '05:49 PM Mon - Nov 29 - 2021', ' CET', '+01.00',
'Europe', 'Chisinau', '06:49 PM Mon - Nov 29 - 2021', ' EET', '+02.00',
'Europe', 'Copenhagen', '05:49 PM Mon - Nov 29 - 2021', ' CET', '+01.00',
'Europe', 'Dublin', '04:49 PM Mon - Nov 29 - 2021', ' GMT', '00.00',
'Europe', 'Gibraltar', '05:49 PM Mon - Nov 29 - 2021', ' CET', '+01.00',
'Europe', 'Guernsey', '04:49 PM Mon - Nov 29 - 2021', ' GMT', '00.00',
'Europe', 'Helsinki', '06:49 PM Mon - Nov 29 - 2021', ' EET', '+02.00',
'Europe', 'Isle_of_Man', '04:49 PM Mon - Nov 29 - 2021', ' GMT', '00.00',
'Europe', 'Jersey', '04:49 PM Mon - Nov 29 - 2021', ' GMT', '00.00',
'Europe', 'Kaliningrad', '06:49 PM Mon - Nov 29 - 2021', ' EET', '+02.00',
'Europe', 'Kiev', '06:49 PM Mon - Nov 29 - 2021', ' EET', '+02.00',
'Europe', 'Lisbon', '04:49 PM Mon - Nov 29 - 2021', ' WET', '00.00',
'Europe', 'Ljubljana', '05:49 PM Mon - Nov 29 - 2021', ' CET', '+01.00',
'Europe', 'London', '04:49 PM Mon - Nov 29 - 2021', ' GMT', '00.00',
'Europe', 'Luxembourg', '05:49 PM Mon - Nov 29 - 2021', ' CET', '+01.00',
'Europe', 'Madrid', '05:49 PM Mon - Nov 29 - 2021', ' CET', '+01.00',
'Europe', 'Malta', '05:49 PM Mon - Nov 29 - 2021', ' CET', '+01.00',
'Europe', 'Mariehamn', '06:49 PM Mon - Nov 29 - 2021', ' EET', '+02.00',
'Europe', 'Minsk', '06:49 PM Mon - Nov 29 - 2021', ' EET', '+02.00',
'Europe', 'Monaco', '05:49 PM Mon - Nov 29 - 2021', ' CET', '+01.00',
'Europe', 'Moscow', '07:49 PM Mon - Nov 29 - 2021', ' MSK;+03.00', '',
'Europe', 'Oslo', '05:49 PM Mon - Nov 29 - 2021', ' CET', '+01.00',
'Europe', 'Paris', '05:49 PM Mon - Nov 29 - 2021', ' CET', '+01.00',
'Europe', 'Podgorica', '05:49 PM Mon - Nov 29 - 2021', ' CET', '+01.00',
'Europe', 'Prague', '05:49 PM Mon - Nov 29 - 2021', ' CET', '+01.00',
'Europe', 'Riga', '06:49 PM Mon - Nov 29 - 2021', ' EET', '+02.00',
'Europe', 'Rome', '05:49 PM Mon - Nov 29 - 2021', ' CET', '+01.00',
'Europe', 'Samara', '07:49 PM Mon - Nov 29 - 2021', ' SAMT', '+03.00',
'Europe', 'San_Marino', '05:49 PM Mon - Nov 29 - 2021', ' CET', '+01.00',
'Europe', 'Sarajevo', '05:49 PM Mon - Nov 29 - 2021', ' CET', '+01.00',
'Europe', 'Skopje', '05:49 PM Mon - Nov 29 - 2021', ' CET', '+01.00',
'Europe', 'Sofia', '06:49 PM Mon - Nov 29 - 2021', ' EET', '+02.00',
'Europe', 'Stockholm', '05:49 PM Mon - Nov 29 - 2021', ' CET', '+01.00',
'Europe', 'Tallinn', '06:49 PM Mon - Nov 29 - 2021', ' EET', '+02.00',
'Europe', 'Tirane', '05:49 PM Mon - Nov 29 - 2021', ' CET', '+01.00',
'Europe', 'Vaduz', '05:49 PM Mon - Nov 29 - 2021', ' CET', '+01.00',
'Europe', 'Vatican', '05:49 PM Mon - Nov 29 - 2021', ' CET', '+01.00',
'Europe', 'Vienna', '05:49 PM Mon - Nov 29 - 2021', ' CET', '+01.00',
'Europe', 'Vilnius', '06:49 PM Mon - Nov 29 - 2021', ' EET', '+02.00',
'Europe', 'Warsaw', '05:49 PM Mon - Nov 29 - 2021', ' CET', '+01.00',
'Europe', 'Zagreb', '05:49 PM Mon - Nov 29 - 2021', ' CET', '+01.00',
'Europe', 'Zurich', '05:49 PM Mon - Nov 29 - 2021', ' CET', '+01.00',
'Indian', 'Antananarivo', '07:49 PM Mon - Nov 29 - 2021', ' EAT', '+03.00',
'Indian', 'Chagos', '10:49 PM Mon - Nov 29 - 2021', ' IOT', '+06.00',
'Indian', 'Christmas', '11:49 PM Mon - Nov 29 - 2021', ' CXT', '+07.00',
'Indian', 'Cocos', '11:19 PM Mon - Nov 29 - 2021', ' CCT', '+06.50',
'Indian', 'Comoro', '07:49 PM Mon - Nov 29 - 2021', ' EAT', '+03.00',
'Indian', 'Kerguelen', '09:49 PM Mon - Nov 29 - 2021', ' TFT', '+05.00',
'Indian', 'Mahe', '08:49 PM Mon - Nov 29 - 2021', ' SCT', '+04.00',
'Indian', 'Maldives', '09:49 PM Mon - Nov 29 - 2021', ' MVT', '+05.00',
'Indian', 'Mauritius', '08:49 PM Mon - Nov 29 - 2021', ' MUT', '+04.00',
'Indian', 'Mayotte;07:49 PM Mon - Nov 29 - 2021', ' RET', '+03.00', '',
'Indian', 'Reunion', '08:49 PM Mon - Nov 29 - 2021', ' RET', '+04.00',
'Pacific', 'Auckland', '05:49 AM Tue - Nov 30 - 2021', ' NZDT', '+13.00',
'Pacific', 'Chatham', '06:34 AM Tue - Nov 30 - 2021', ' CHAD;+13:45', NULL,
'Pacific', 'Efate', '03:49 AM Tue - Nov 30 - 2021', ' VUT', '+11.00',
'Pacific', 'Enderbury', '05:49 AM Tue - Nov 30 - 2021', ' PHOT', '+13.00',
'Pacific', 'Fakaofo', '06:49 AM Mon - Nov 29 - 2021', ' TKT', '-10.00',
'Pacific', 'Fiji', '04:49 AM Tue - Nov 30 - 2021', ' FJT', '+12.00',
